首字母,城市名称
A,安阳
A,鞍山
A,安庆
A,安康
A,阿坝
A,阿拉善
A,阿克苏
A,阿勒泰
A,安顺
A,澳门
A,阿拉尔
A,阿里
B,北京
B,蚌埠
B,保定
B,本溪
B,包头
B,亳州
B,滨州
B,白城
B,百色
B,白山
B,白银
B,宝鸡
B,保山
B,巴彦淖尔
B,巴中
B,北海
B,毕节
B,博尔塔拉
B,巴音郭楞
C,重庆
C,成都
C,长春
C,长沙
C,承德
C,常州
C,滁州
C,沧州
C,常德
C,昌吉
C,长治
C,朝阳
C,潮州
C,郴州
C,楚雄
C,赤峰
C,池州
C,崇左
C,昌都
D,大连
D,东莞
D,德州
D,丹东
D,大理
D,大庆
D,大同
D,达州
D,德宏
D,德阳
D,定西
D,迪庆
D,东营
D,东方
D,儋州
D,定安
D,大兴安岭
E,鄂州
E,鄂尔多斯
E,恩施
F,福州
F,阜阳
F,佛山
F,抚州
F,防城港
F,抚顺
F,阜新
G,广州
G,贵阳
G,桂林
G,赣州
G,广元
G,甘孜
G,广安
G,贵港
G,固原
G,甘南
G,果洛
G,高雄
H,杭州
H,合肥
H,哈尔滨
H,海口
H,衡阳
H,邯郸
H,呼和浩特
H,黄冈
H,黄石
H,湖州
H,衡水
H,呼伦贝尔
H,黄山
H,海北
H,海西
H,哈密
H,汉中
H,鹤壁
H,河池
H,鹤岗
H,黑河
H,和田
H,河源
H,菏泽
H,贺州
H,红河
H,淮安
H,淮北
H,怀化
H,淮南
H,惠州
H,葫芦岛
H,海东
H,海南
H,黄南
J,吉林
J,济南
J,九江
J,揭阳
J,酒泉
J,嘉兴
J,荆州
J,锦州
J,佳木斯
J,吉安
J,江门
J,焦作
J,嘉峪关
J,金昌
J,晋城
J,景德镇
J,荆门
J,金华
J,济宁
J,晋中
J,鸡西
J,济源
K,昆明
K,开封
K,喀什
K,克拉玛依
K,克孜勒苏
L,兰州
L,廊坊
L,六安
L,乐山
L,来宾
L,柳州
L,聊城
L,拉萨
L,洛阳
L,凉山
L,连云港
L,辽阳
L,辽源
L,丽江
L,临沧
L,临汾
L,临夏
L,临沂
L,林芝
L,丽水
L,六盘水
L,陇南
L,龙岩
L,娄底
L,漯河
L,泸州
L,吕梁
M,绵阳
M,马鞍山
M,茂名
M,眉山
M,梅州
M,牡丹江
N,南京
N,南昌
N,南宁
N,宁波
N,南通
N,南充
N,南平
N,南阳
N,内江
N,宁德
N,那曲
N,怒江
P,莆田
P,濮阳
P,盘锦
P,攀枝花
P,平顶山
P,平凉
P,萍乡
P,普洱
Q,青岛
Q,秦皇岛
Q,泉州
Q,衢州
Q,曲靖
Q,黔东南
Q,黔南
Q,黔西南
Q,庆阳
Q,清远
Q,钦州
Q,齐齐哈尔
Q,七台河
Q,琼海
Q,潜江
R,日照
R,日喀则
S,上海
S,深圳
S,沈阳
S,石家庄
S,三门峡
S,三明
S,三亚
S,商洛
S,商丘
S,苏州
S,汕头
S,汕尾
S,十堰
S,遂宁
S,上饶
S,绍兴
S,邵阳
S,双鸭山
S,朔州
S,四平
S,松原
S,绥化
S,随州
S,宿迁
S,宿州
S,石嘴山
S,韶关
S,神农架
S,石河子
S,山南
T,天津
T,太原
T,唐山
T,台州
T,塔城
T,泰安
T,铁岭
T,泰州
T,天水
T,铜川
T,通化
T,通辽
T,铜陵
T,铜仁
T,吐鲁番
T,天门
T,台北
T,图木舒克
W,武汉
W,温州
W,无锡
W,乌鲁木齐
W,芜湖
W,潍坊
W,威海
W,渭南
W,文山
W,乌海
W,乌兰察布
W,武威
W,吴忠
W,梧州
W,万宁
W,五指山
W,文昌
W,五家渠
X,西安
X,厦门
X,湘潭
X,徐州
X,许昌
X,信阳
X,西宁
X,咸阳
X,宣城
X,新乡
X,湘西
X,襄阳
X,咸宁
X,孝感
X,锡林郭勒
X,兴安
X,邢台
X,新余
X,忻州
X,西双版纳
X,香港
X,仙桃
Y,扬州
Y,银川
Y,宜昌
Y,岳阳
Y,榆林
Y,烟台
Y,雅安
Y,延安
Y,延边
Y,盐城
Y,阳江
Y,阳泉
Y,宜宾
Y,伊春
Y,宜春
Y,伊犁
Y,营口
Y,鹰潭
Y,益阳
Y,永州
Y,玉林
Y,运城
Y,云浮
Y,玉溪
Y,玉树
Z,珠海
Z,肇庆
Z,张家口
Z,中山
Z,淄博
Z,驻马店
Z,枣庄
Z,张家界
Z,张掖
Z,漳州
Z,湛江
Z,昭通
Z,郑州
Z,镇江
Z,中卫
Z,周口
Z,舟山
Z,株洲
Z,自贡
Z,资阳
Z,遵义
